Dataset,Learning Rate,Early Step Threshold,L2 Reg,Dev Loss,RMSE,Micro F-1,Average Time Per Epoch
mimic,0.01,0.01,0,3.20641923,7.334756748,0.2,
mimic,0.01,0.001,0,3.053236723,7.171144576,0.215384615,
mimic,0.001,0.01,0,3.515641689,7.345258739,0.2,
mimic,0.001,0.001,0,1.623447418,5.17507933,0.615384615,
mimic,0.001,0.001,0,1.623447418,5.17507933,0.615384615,
mimic,0.001,0.0001,0,0.398388773,3.745333131,0.661538462,
mimic,0.0001,0.001,0,3.005043507,7.086602549,0.2,
mimic,0.0001,0.0001,0,2.681648731,6.248616299,0.261538462,
synthetic,5.00E-05,0.01,0.0003,0.634523392,17.34812811,0.5575,
stackOverflow,0.001,0.01,0,0.178524926,99.91574082,0.244343891,
stackOverflow,0.001,0.001,0,-0.369174153,83.5842902,0.2586727,
stackOverflow,0.0001,0.01,0,1.307524681,61.67853583,0.259426848,
stackOverflow,0.0001,0.001,0,0.294693023,75.49435762,0.252639517,
retweet,0.001,0.01,0,4.483746052,52541571.94,0.532,
retweet,0.001,0.001,0,4.303131104,54779424.44,0.5265,
synthetic,5.00E-05,0.01,0.0003,1.660474777,26.87783319,0.5625,
synthetic,5.00E-05,0.01,0.0003,0.634523392,17.34812811,0.5575,
synthetic,5.00E-05,0.01,0.0003,0.634523392,17.34812811,0.5575,
stackOverflow,0.0001,0.01,0.0003,1.145601988,12.39057295,0.267722474,
synthetic,5.00E-05,0.01,0.0003,1.82950604,25.53080577,0.4725,
synthetic,5.00E-05,0.01,0.0003,0.634523392,17.31975908,0.5575,
mimic,0.001,0.0001,0,0.398388773,3.744458907,0.661538462,
stackOverflow,0.0001,0.01,0,1.307524681,60.76620759,0.259426848,
retweet,0.001,0.001,0,4.303131104,27389712.6,0.5265,
synthetic,5.00E-05,0.01,0.0003,2.007021427,28.7630407,1,
synthetic,5.00E-05,0.01,0.0003,2.007021427,28.7630407,1,
synthetic,5.00E-05,0.01,0.0003,2.196275234,49.99967428,1,
data/simulated\hawkes_2d.pkl,5.00E-05,0.01,0.0003,2.196275234,49.99967428,1,
hawkes_2d.pkl,5.00E-05,0.01,0.0003,2.196275234,49.99967428,1,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,2.110536814,18.27617299,0.4225,
hawkes_2d.pkl,5.00E-05,0.01,0.0003,2.265613079,56.77757062,1,
hawkes_2d.pkl,5.00E-05,0.01,0.0003,1.922926784,147.2702103,0.3775,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,1.93635571,24.11455952,0.425,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,1.933095694,24.88199044,0.4275,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,0.615825713,17.4989841,0.5575,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,0.137132794,15.92648607,0.5575,
power_kernel_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.845088243,21.10216392,1,
power_kernel_1d_hawkes.pkl,5.00E-05,0.01,0.0003,0.667617321,19.74271524,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.845088243,21.10216392,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,0.667617321,19.74271524,1,
hawkes_2d.pkl,5.00E-05,0.01,0.0003,0.57684499,55.76533839,0.5625,
hawkes_2d.pkl,5.00E-05,0.01,0.0003,0.240587473,28.09358728,0.5625,
power_kernel_1d_hawkes.pkl,5.00E-05,0.01,0.0003,2.405390024,3418.696756,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,2.389506578,65.32200224,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,2.389506578,65.32200224,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,2.389506578,65.32200224,1,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,0.621080995,17.48357863,0.5575,
power_kernel_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.658056498,3078.302027,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.826278687,20.43062119,1,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.01,0.0003,0.621080995,2.233645182,0.5575,
power_kernel_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.658056498,6.632111375,1,
sinusodial_1d_hawkes.pkl,5.00E-05,0.01,0.0003,1.826278687,5.625780841,1,
hawkes_synthetic_random_2d_20191130-180837.pkl,5.00E-05,0.001,0.0003,-0.055315226,2.429757916,0.5575,
mimic,5.00E-05,0.001,0.0003,2.684224129,0.780507199,0.2,
retweet,5.00E-05,0.001,0.0003,5.464731216,127647.4653,0.5375,
mimic,0.0001,0.0001,0.0003,2.10272336,0.789149729,0.2,
mimic,0.0001,0.0001,0.0003,2.10272336,0.789149729,0.2,
mimic,0.0001,0.0001,0.0003,0.90271008,0.856152921,0.661538462,
mimic,0.001,0.0001,0.0003,0.268925339,0.798834494,0.661538462,
mimic,0.0001,0.001,0.0003,22.15423393,0.949944393,0.030769231,
retweet,0.0001,0.001,0.0003,4.863275051,127590.2058,0.5245,
mimic,0.0001,0.001,0.0003,22.15423393,0.949937898,0.030769231,
hawkes_synthetic_random_2d_20191130-180837.pkl,0.0001,0.001,0.0003,3.697820187,2.42358678,0.4825,
mimic,0.0001,0.001,0.0003,2.491034508,0.773207751,0.2,
mimic,0.0001,0.001,0.0003,2.491034508,0.773207751,0.2,
mimic,0.001,0.001,0.0003,0.855100274,0.820674174,0.646153846,
